L,mccb,fuse1
1,0.0,1.0
2,0.0,1.0
3,0.0,1.0
4,0.0,1.0
5,0.0,1.0
6,0.0,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
11,0.0,1.0
12,0.0,1.0
13,0.0,1.0
14,1.4825706429494706e-307,1.0
15,8.368935898278157e-288,1.0
16,8.393873411829137e-270,1.0
17,2.566048571092507e-253,1.0
18,3.557464364435167e-238,1.0
19,3.2792785817315825e-224,1.0
20,2.647792261301812e-211,1.0
21,2.4529792239833517e-199,1.0
22,3.2888739790717267e-188,1.0
23,7.543171105899355e-178,1.0
24,3.5348976666245937e-168,1.0
25,3.9541649202255343e-159,1.0
26,1.1735382630804505e-150,1.0
27,1.0558409674757467e-142,1.0
28,3.116954061800462e-135,1.0
29,3.333113598715958e-128,1.0
30,1.4103978007774029e-121,1.0
31,2.487907827781851e-115,1.0
32,1.9685910846383834e-109,1.0
33,7.464467534312565e-104,1.0
34,1.4041869413760885e-98,1.0
35,1.3859481347031232e-93,1.0
36,7.551580673959337e-89,1.0
37,2.32452910649007e-84,1.0
38,4.2554863341863884e-80,1.0
39,4.7152599072439884e-76,1.0
40,3.2839819873174723e-72,1.0
41,1.4881427842167958e-68,1.0
42,4.4381797575732824e-65,1.0
43,8.982096830822582e-62,1.0
44,1.2687506002299163e-58,1.0
45,1.2598571609354955e-55,1.0
46,9.01929260152941e-53,1.0
47,4.736576865709343e-50,1.0
48,1.8650696047758285e-47,1.0
49,5.5252812281708186e-45,1.0
50,1.256299766555443e-42,1.0
51,2.233015052797635e-40,1.0
52,3.1076923524077116e-38,1.0
53,3.444067936498595e-36,1.0
54,3.0872119382271577e-34,1.0
55,2.2390099438092143e-32,1.0
56,1.3329821815593705e-30,1.0
57,6.601916354978018e-29,1.0
58,2.718640116101769e-27,1.0
59,9.425194747073707e-26,1.0
60,2.7716279733506568e-24,1.0
61,6.989535624562151e-23,1.0
62,1.509691804310552e-21,1.0
63,2.82194101538125e-20,1.0
64,4.592251236199997e-19,1.0
65,6.5655141819694905e-18,1.0
66,8.233672608977067e-17,1.0
67,9.135950489967977e-16,1.0
68,9.012730660783159e-15,1.0
69,7.965138044581672e-14,1.0
70,6.295767912887626e-13,1.0
71,4.48306729427582e-12,1.0
72,2.8873871831061703e-11,1.0
73,1.6927530897126662e-10,1.0
74,9.019228006658242e-10,1.0
75,4.394295704726024e-9,1.0
76,1.964252244997599e-8,1.0
77,8.098509408947008e-8,1.0
78,3.075668932409605e-7,1.0
79,1.081546262836515e-6,1.0
80,3.531386883224272e-6,1.0
81,1.0735392320662102e-5,1.0
82,3.051574060197683e-5,1.0
83,8.103434879815569e-5,1.0
84,0.00020187323375533395,1.0
85,0.0004729117233554677,1.0
86,0.001044169767570955,0.9999999999999999
87,0.0021805326509077554,0.9999999999999996
88,0.004305170198629176,0.9999999999999971
89,0.008064156725574749,0.9999999999999822
90,0.014360925977906887,0.9999999999998962
91,0.02436479190826416,0.9999999999994319
92,0.039496952373763744,0.9999999999970856
93,0.06119324620518711,0.9999999999859683
94,0.09088131831976579,0.9999999999365075
95,0.12964968153313747,0.9999999997296047
96,0.17803169918028988,0.9999999989147663
97,0.23581349522982525,0.9999999958897572
98,0.30193864592620545,0.9999999852907225
99,0.3746917997691456,0.9999999501985072
100,0.4512746958014153,0.9999998402810022
101,0.5289507358378027,0.9999995141981498
102,0.6048062187520479,0.9999985969760038
103,0.6762074187091595,0.9999961480571681
104,0.7410559687147263,0.9999899353187859
105,0.797942979880834,0.99997494385211
106,0.8462835039320511,0.9999405017617345
107,0.8858653249553012,0.9998650898717598
108,0.9173308605083106,0.9997075811100248
109,0.9415810824206903,0.999393470138618
110,0.959715767410884,0.9987948331882888
111,0.9728855400501157,0.9977035828828366
112,0.9821809600677844,0.9957992876787266
113,0.988562411755633,0.9926154402657261
114,0.9928267937414675,0.987511235955346
115,0.9956026366132663,0.9796588359197222
116,0.9973671785292734,0.9680575186525001
117,0.9984561147742884,0.9515847672127271
118,0.9991139499218639,0.9290893482016119
119,0.999502102013832,0.8995229637270341
120,0.9997259363541374,0.8620965851226488
121,0.999852163533017,0.8164377846324107
122,0.9999218155859514,0.7627194491557401
123,0.9999594439829504,0.7017307998509837
124,0.9999793569861524,0.634869629949592
125,0.9999896852770404,0.5640488531238581
126,0.9999949383734086,0.4915275130433033
127,0.9999975596656691,0.41969193214104183
128,0.9999988435925444,0.3508225745859945
129,0.9999994611755825,0.2868839932632491
130,0.9999997530393535,0.22936881203774162
131,0.9999998886171578,0.17921421298974133
132,0.9999999505482698,0.1367944289270997
133,0.9999999783789615,0.1019790787287819
134,0.99999999068765,0.07423772726312074
135,0.9999999960474066,0.05276714866365038
136,0.9999999983461575,0.03661914242752696
137,0.9999999993175969,0.02481191430153074
138,0.9999999997222428,0.016414975398449244
139,0.9999999998884407,0.01060434157645418
140,0.9999999999557718,0.006690200482644344
141,0.9999999999826868,0.004122546519197722
142,0.9999999999933062,0.00248159449071101
143,0.9999999999974432,0.0014595193781053212
144,0.9999999999990349,0.0008388484650511927
145,0.9999999999996398,0.0004712346773858714
146,0.9999999999998671,0.0002587975939472619
147,0.9999999999999515,0.00013897751977718669
148,0.9999999999999825,7.299354462000292e-5
149,0.9999999999999938,3.7503841300554026e-5
150,0.9999999999999978,1.8854514602657415e-5
151,0.9999999999999992,9.276856034221028e-6
152,0.9999999999999998,4.468172873657185e-6
153,0.9999999999999999,2.1071750451829082e-6
154,1.0,9.732183150593288e-7
155,1.0,4.403073635345276e-7
156,1.0,0.0
157,1.0,0.0
158,1.0,0.0
159,1.0,0.0
160,1.0,0.0
161,1.0,0.0
162,1.0,0.0
163,1.0,0.0
164,1.0,0.0
165,1.0,0.0
166,1.0,0.0
167,1.0,0.0
168,1.0,0.0
169,1.0,0.0
170,1.0,0.0
171,1.0,0.0
172,1.0,0.0
173,1.0,0.0
174,1.0,0.0
175,1.0,0.0
176,1.0,0.0
177,1.0,0.0
178,1.0,0.0
179,1.0,0.0
180,1.0,0.0
181,1.0,0.0
182,1.0,0.0
183,1.0,0.0
184,1.0,0.0
185,1.0,0.0
186,1.0,0.0
187,1.0,0.0
188,1.0,0.0
189,1.0,0.0
190,1.0,0.0
191,1.0,0.0
192,1.0,0.0
193,1.0,0.0
194,1.0,0.0
195,1.0,0.0
196,1.0,0.0
197,1.0,0.0
198,1.0,0.0
199,1.0,0.0
200,1.0,0.0
