L,mccb,fuse1
1,0.0,1.0
2,0.0,1.0
3,0.0,1.0
4,0.0,1.0
5,0.0,1.0
6,0.0,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,3.31286225e-315,1.0
11,1.1946317701508379e-287,1.0
12,2.2806042767537703e-263,1.0
13,8.20689137510692e-242,1.0
14,1.473072788064594e-222,1.0
15,2.997022440300377e-205,1.0
16,1.2778111065231678e-189,1.0
17,1.9123050667286954e-175,1.0
18,1.5370545392079765e-162,1.0
19,9.456664233182814e-151,1.0
20,5.917138629616311e-140,1.0
21,4.9828617814715216e-130,1.0
22,6.906335078653029e-121,1.0
23,1.8959740727397133e-112,1.0
24,1.209972839133393e-104,1.0
25,2.063294877570945e-97,1.0
26,1.0503128246027372e-90,1.0
27,1.816292284749621e-84,1.0
28,1.1594144250724385e-78,1.0
29,2.970434215399713e-73,1.0
30,3.290526755570741e-68,1.0
31,1.6691382810770776e-63,1.0
32,4.1921867306663055e-59,1.0
33,5.448361059026441e-55,1.0
34,3.8454382979466557e-51,1.0
35,1.5397540957696722e-47,1.0
36,3.61162452386353e-44,1.0
37,5.224294951582838e-41,1.0
38,4.77825288314186e-38,1.0
39,2.847383228775597e-35,1.0
40,1.13625673225433e-32,1.0
41,3.094586532178063e-30,1.0
42,5.961679106424263e-28,1.0
43,8.245695815864205e-26,1.0
44,8.350654139790558e-24,1.0
45,6.272989667315766e-22,1.0
46,3.5928519585445853e-20,1.0
47,1.5849844822443296e-18,1.0
48,5.4642707047295485e-17,1.0
49,1.4921893853455775e-15,1.0
50,3.255163174000697e-14,1.0
51,5.788333958813148e-13,1.0
52,8.446032380449675e-12,1.0
53,1.0217325509613671e-10,1.0
54,1.0312217794459852e-9,1.0
55,8.82282607123299e-9,1.0
56,6.43104719244024e-8,1.0
57,4.0259691620952795e-7,1.0
58,2.1754676181017484e-6,1.0
59,1.0275143612603128e-5,1.0
60,4.2593912927737615e-5,1.0
61,0.00015597902665379537,1.0
62,0.0005067811385387057,1.0
63,0.001475535150885507,1.0
64,0.0038641983123208616,1.0
65,0.009153457509217594,1.0
66,0.019694019932797707,1.0
67,0.038801259651099824,1.0
68,0.07027560260941891,1.0
69,0.11752649653226133,1.0
70,0.1828192269703735,1.0
71,0.26570331792626,1.0
72,0.36283378477023664,1.0
73,0.46803428130325386,1.0
74,0.574314079068949,1.0
75,0.6741502932718184,1.0
76,0.761594998456165,1.0
77,0.8336422213669638,1.0
78,0.8892587482321187,1.0
79,0.9295968694938882,1.0
80,0.9573217647701566,1.0
81,0.9752928792653841,1.0
82,0.9863294969306936,1.0
83,0.9927532161545912,1.0
84,0.9963263873614688,1.0
85,0.9982147669610497,1.0
86,0.9991658686875261,1.0
87,0.9996261914166656,1.0
88,0.9998388665476676,1.0
89,0.9999329670343353,1.0
90,0.9999731716979541,1.0
91,0.9999896370362947,1.0
92,0.9999961226763892,1.0
93,0.9999986002382119,1.0
94,0.99999951072582,1.0
95,0.9999998337702931,1.0
96,0.999999945358995,1.0
97,0.999999982558119,1.0
98,0.9999999945710211,1.0
99,0.9999999983610249,1.0
100,0.9999999995181951,1.0
101,0.9999999998614838,1.0
102,0.9999999999612893,1.0
103,0.9999999999894005,1.0
104,0.9999999999971749,1.0
105,0.9999999999992638,1.0
106,0.9999999999998116,1.0
107,0.9999999999999529,1.0
108,0.9999999999999885,1.0
109,0.9999999999999972,1.0
110,0.9999999999999993,1.0
111,0.9999999999999999,1.0
112,1.0,1.0
113,1.0,1.0
114,1.0,1.0
115,1.0,1.0
116,1.0,0.9999999999999998
117,1.0,0.9999999999999988
118,1.0,0.9999999999999943
119,1.0,0.9999999999999751
120,1.0,0.9999999999998967
121,1.0,0.9999999999995884
122,1.0,0.9999999999984284
123,1.0,0.9999999999942418
124,1.0,0.9999999999797471
125,1.0,0.9999999999315661
126,1.0,0.9999999997776986
127,1.0,0.9999999993052956
128,1.0,0.9999999979100428
129,1.0,0.9999999939432246
130,1.0,0.9999999830802583
131,1.0,0.9999999544099227
132,1.0,0.9999998814388693
133,1.0,0.9999997022333955
134,1.0,0.9999992773417058
135,1.0,0.9999983042151099
136,1.0,0.9999961501595916
137,1.0,0.9999915394495014
138,1.0,0.9999819911990948
139,1.0,0.9999628512213268
140,1.0,0.9999256949340082
141,1.0,0.9998558068372304
142,1.0,0.9997283813882184
143,1.0,0.9995030671560107
144,1.0,0.9991165279765175
145,1.0,0.9984728636617276
146,1.0,0.9974320555475765
147,1.0,0.9957970946073932
148,1.0,0.9933010883877527
149,1.0,0.9895963490889739
150,1.0,0.9842480999666957
151,1.0,0.9767358140661079
152,1.0,0.9664651166861499
153,1.0,0.9527924771543244
154,1.0,0.9350635211209457
155,1.0,0.9126637965250344
156,1.0,0.8850784827498324
157,1.0,0.8519552530888646
158,1.0,0.8131627762763293
159,1.0,0.7688366361597581
160,1.0,0.7194050723138818
161,1.0,0.6655889609142432
162,1.0,0.608373630131767
163,1.0,0.5489539331990565
164,1.0,0.48865780916692425
165,1.0,0.4288566461997372
166,1.0,0.37087255884328457
167,1.0,0.31589289281674426
168,1.0,0.2649008937623243
169,1.0,0.21862883979032777
170,1.0,0.1775365788975668
171,1.0,0.14181495630109675
172,1.0,0.1114106388827876
173,1.0,0.08606676038749984
174,1.0,0.06537281825148067
175,1.0,0.0488173241251905
176,1.0,0.035837639335967446
177,1.0,0.02586290194258926
178,1.0,0.018347636230838456
179,1.0,0.0
180,1.0,0.0
181,1.0,0.0
182,1.0,0.0
183,1.0,0.0
184,1.0,0.0
185,1.0,0.0
186,1.0,0.0
187,1.0,0.0
188,1.0,0.0
189,1.0,0.0
190,1.0,0.0
191,1.0,0.0
192,1.0,0.0
193,1.0,0.0
194,1.0,0.0
195,1.0,0.0
196,1.0,0.0
197,1.0,0.0
198,1.0,0.0
199,1.0,0.0
200,1.0,0.0
