L,mccb,fuse1
1,0.0,1.0
2,0.0,1.0
3,0.0,1.0
4,0.0,1.0
5,0.0,1.0
6,0.0,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
11,0.0,1.0
12,0.0,1.0
13,2.0421701667255694e-301,1.0
14,2.1361041958740016e-280,1.0
15,2.282109466987516e-261,1.0
16,4.582679759350091e-244,1.0
17,2.8491685751365443e-228,1.0
18,8.633900567512413e-214,1.0
19,1.7708137574084086e-200,1.0
20,3.409948913413391e-188,1.0
21,7.758708707183571e-177,1.0
22,2.6632565735785368e-166,1.0
23,1.6264320463468884e-156,1.0
24,2.1320855201146273e-147,1.0
25,6.76772565439435e-139,1.0
26,6.03077171034147e-131,1.0
27,1.6495844526848993e-123,1.0
28,1.5599288800815751e-116,1.0
29,5.452785178488717e-110,1.0
30,7.766601369170568e-104,1.0
31,4.784658064711118e-98,1.0
32,1.3452091365794833e-92,1.0
33,1.8592953300828885e-87,1.0
34,1.3063100694067694e-82,1.0
35,4.969501061310436e-78,1.0
36,1.0500130008762631e-73,1.0
37,1.3009166159672262e-69,1.0
38,9.635328490939387e-66,1.0
39,4.471764336442121e-62,1.0
40,1.3195519623737698e-58,1.0
41,2.5622769384371445e-55,1.0
42,3.378356618135478e-52,1.0
43,3.0532100714310627e-49,1.0
44,1.9570850300336176e-46,1.0
45,8.959049116235004e-44,1.0
46,3.0193131930239236e-41,1.0
47,7.528198757094392e-39,1.0
48,1.4269582247884031e-36,1.0
49,2.0632157735461304e-34,1.0
50,2.331800247903359e-32,1.0
51,2.0644735325663133e-30,1.0
52,1.463711260160267e-28,1.0
53,8.321242460954011e-27,1.0
54,3.869457527240619e-25,1.0
55,1.4726358478201686e-23,1.0
56,4.650848324697053e-22,1.0
57,1.2344314868090565e-20,1.0
58,2.753194483474538e-19,1.0
59,5.241159869001829e-18,1.0
60,8.512109026222475e-17,1.0
61,1.1963023969407654e-15,1.0
62,1.4539353438404554e-14,1.0
63,1.5430250233836912e-13,1.0
64,1.4426957855000068e-12,1.0
65,1.18737340253819e-11,1.0
66,8.699584831072045e-11,1.0
67,5.669385752901171e-10,1.0
68,3.320094759645936e-9,1.0
69,1.745759462497065e-8,1.0
70,8.299802034029969e-8,1.0
71,3.5903676153003285e-7,1.0
72,1.4122126793404223e-6,1.0
73,5.091687791690915e-6,1.0
74,1.681849439475406e-5,1.0
75,5.1178591707072286e-5,1.0
76,0.00014418883789545518,1.0
77,0.0003760102794884849,1.0
78,0.0009133751856606131,1.0
79,0.002066617795070195,1.0
80,0.004375062500712404,1.0
81,0.008701050385848423,1.0
82,0.01626207295321621,1.0
83,0.02867801369697513,1.0
84,0.04789299537425338,1.0
85,0.07580681645057726,1.0
86,0.11415010724517669,1.0
87,0.16408092238094768,1.0
88,0.22545884557315182,1.0
89,0.29720814460192807,1.0
90,0.37713342568263036,1.0
91,0.4615962301093844,1.0
92,0.5470797477774333,1.0
93,0.6293996474891286,1.0
94,0.7054014251086382,1.0
95,0.7726316833638033,1.0
96,0.829798228734874,0.9999999999999997
97,0.8762935274753688,0.9999999999999981
98,0.9127492988417265,0.9999999999999895
99,0.9403262873486786,0.9999999999999454
100,0.9603481938140921,0.9999999999997338
101,0.9744131983230796,0.9999999999987721
102,0.9839767425072368,0.9999999999946363
103,0.9902370930420702,0.9999999999777824
104,0.9942152811636807,0.9999999999126354
105,0.9966693840635098,0.9999999996735214
106,0.9981308182474817,0.9999999988393062
107,0.9989781781638386,0.999999996070137
108,0.9994555639144669,0.9999999873153886
109,0.9997175620440238,0.9999999609293451
110,0.9998568079833419,0.9999998850463625
111,0.9999291203320911,0.9999996766227806
112,0.9999657870844251,0.9999991293995572
113,0.9999838294748873,0.9999977548179101
114,0.9999925250629699,0.9999944486215707
115,0.9999966187239412,0.9999868279478226
116,0.9999985056125219,0.9999699814217141
117,0.9999993516809449,0.9999342363170473
118,0.9999997243241481,0.9998613844741457
119,0.9999998850483863,0.9997186586357117
120,0.9999999530843741,0.9994496816508546
121,0.9999999811607636,0.9989617233454856
122,0.9999999925706275,0.9981090111648544
123,0.9999999971213676,0.9966726484084806
124,0.9999999989036156,0.9943389197729717
125,0.9999999995904659,0.9906792927038012
126,0.9999999998490979,0.9851369607592161
127,0.9999999999452724,0.9770258584768283
128,0.9999999999804565,0.9655481574091394
129,0.9999999999931458,0.9498348548375098
130,0.9999999999976242,0.9290109876792954
131,0.9999999999991882,0.9022824873018354
132,0.9999999999997264,0.8690364918722079
133,0.9999999999999091,0.8289422212364188
134,0.9999999999999702,0.78203660897108
135,0.9999999999999903,0.7287788553936678
136,0.9999999999999969,0.6700613857725557
137,0.999999999999999,0.6071710081734896
138,0.9999999999999997,0.5417021847440348
139,0.9999999999999999,0.4754325321883836
140,1.0,0.4101771346552118
141,1.0,0.34764157163591636
142,1.0,0.2892930980249214
143,1.0,0.23626544161854723
144,1.0,0.18930627063526495
145,1.0,0.1487690479861538
146,1.0,0.11464427699394901
147,1.0,0.08662025470892473
148,1.0,0.06416100619441172
149,1.0,0.0465890777165303
150,1.0,0.03316282001324873
151,1.0,0.023140914170971173
152,1.0,0.01583035620599584
153,1.0,0.010617240056984077
154,1.0,0.006982029654639869
155,1.0,0.004502424861301839
156,1.0,0.0028474606994864657
157,1.0,0.0017663319559377351
158,1.0,0.00107485849353281
159,1.0,0.000641740058057567
160,1.0,0.0003759786706503562
161,1.0,0.0002161887142973193
162,1.0,0.00012202249034566204
163,1.0,6.76170848010275e-5
164,1.0,0.0
165,1.0,0.0
166,1.0,0.0
167,1.0,0.0
168,1.0,0.0
169,1.0,0.0
170,1.0,0.0
171,1.0,0.0
172,1.0,0.0
173,1.0,0.0
174,1.0,0.0
175,1.0,0.0
176,1.0,0.0
177,1.0,0.0
178,1.0,0.0
179,1.0,0.0
180,1.0,0.0
181,1.0,0.0
182,1.0,0.0
183,1.0,0.0
184,1.0,0.0
185,1.0,0.0
186,1.0,0.0
187,1.0,0.0
188,1.0,0.0
189,1.0,0.0
190,1.0,0.0
191,1.0,0.0
192,1.0,0.0
193,1.0,0.0
194,1.0,0.0
195,1.0,0.0
196,1.0,0.0
197,1.0,0.0
198,1.0,0.0
199,1.0,0.0
200,1.0,0.0
